episode,model,bandwidth,final_reward,split_point
200,efficientnetb1,939,0.0,1
201,resnet34,750,0.1441687792856025,1
202,efficientnetb2,350,0.0,1
203,efficientnetb0,750,0.221102352041803,2
204,resnet50,750,0.098265786808133,1
205,efficientnetb1,350,0.0,1
206,densenet121,750,0.0357436179754728,3
207,efficientnetb2,939,0.0,1
208,resnet34,750,0.1441687792856025,1
209,vgg16,750,0.0058887013115276,1
210,efficientnetb2,750,0.0,1
211,densenet121,750,0.0357436179754728,3
212,vgg16,550,0.4909442737237837,5
213,vgg16,350,0.0713714441743471,3
214,vgg19,939,0.0,2
215,resnet34,350,0.1157963719048598,1
216,efficientnetb2,939,0.0,1
217,densenet121,350,0.1341157974542594,4
218,efficientnetb0,550,1.0,3
219,resnet34,939,0.2104748857315504,1
220,vgg16,350,0.0713714441743471,3
221,efficientnetb2,350,0.0,1
222,densenet121,939,0.0230700539672484,2
223,vgg16,939,0.4187967673445678,7
224,vgg19,550,0.0192737323606945,1
225,efficientnetb2,750,0.0,1
226,densenet121,550,0.0267032533330688,3
227,efficientnetb2,350,0.0,1
228,resnet34,750,0.2101132021199169,2
229,resnet34,750,0.1441687792856025,1
230,efficientnetb1,750,0.0,1
231,vgg19,939,0.3786480345124817,5
232,efficientnetb2,750,0.6313792880026403,4
233,vgg19,750,0.1063831635744575,4
234,vgg19,550,0.3630539177738009,6
235,efficientnetb2,550,0.0,1
236,efficientnetb2,939,0.0,1
237,vgg19,750,0.0,1
238,vgg16,750,0.0058887013115276,1
239,resnet34,350,0.2851988166522616,3
240,resnet34,550,0.3605928556450244,3
241,resnet34,939,0.3385797164144236,2
242,vgg19,550,0.0,2
243,efficientnetb2,550,0.0,1
244,efficientnetb1,939,0.0,1
245,efficientnetb2,750,0.1857252749278613,2
246,efficientnetb0,550,0.0,1
247,efficientnetb1,550,0.2436659344100393,2
248,efficientnetb2,550,0.1997439170806723,2
249,vgg19,550,0.4939105417814899,8
250,vgg16,750,0.4544437830679675,5
251,resnet34,350,0.3864954674184693,4
252,efficientnetb1,550,0.2436659344100393,2
253,vgg19,350,0.0,1
254,resnet50,550,0.0097267662088094,1
255,resnet34,939,0.8120702549228033,7
256,vgg19,550,0.0192737323606945,1
257,efficientnetb1,550,0.2436659344100393,2
258,densenet121,939,0.0,1
259,efficientnetb2,939,0.0,1
260,vgg19,939,0.0,2
261,efficientnetb0,939,1.0,3
262,efficientnetb0,750,0.6483214388113725,4
263,resnet50,550,0.0097267662088094,1
264,resnet50,939,0.0,1
265,vgg19,750,0.0,1
266,densenet121,350,0.0523859604428457,3
267,resnet50,939,0.481243768988981,4
268,vgg16,939,0.0,2
269,resnet34,350,0.1157963719048598,1
270,efficientnetb0,350,0.7221681243288518,4
271,efficientnetb2,750,0.1857252749278613,2
272,resnet34,350,0.1157963719048598,1
273,densenet121,939,1.0,6
274,efficientnetb2,550,0.0,1
275,efficientnetb0,750,1.0,3
276,efficientnetb1,350,0.0,1
277,vgg19,750,0.1063831635744575,4
278,efficientnetb1,550,0.2436659344100393,2
279,vgg19,350,0.0,1
280,vgg16,939,0.0060710231598882,1
281,vgg19,350,0.0,1
282,efficientnetb0,350,0.2601845258832877,2
283,vgg16,350,0.1139662905811487,4
284,vgg19,550,0.0,2
285,vgg16,350,0.0,1
286,vgg16,750,0.4544437830679675,5
287,vgg16,750,0.0058887013115276,1
288,vgg19,550,0.0,2
289,vgg19,939,0.0,2
290,vgg16,550,0.0199271539720846,1
291,efficientnetb2,939,0.0,1
292,efficientnetb1,350,0.0,1
293,vgg19,550,0.0,2
294,efficientnetb2,550,1.0,3
295,resnet50,550,0.645703014729161,8
296,efficientnetb0,350,0.0,1
297,efficientnetb1,550,0.0,1
298,vgg19,939,0.0,2
299,efficientnetb1,350,0.2323535341648464,2
300,vgg19,750,0.5392519021115965,9
301,densenet121,550,0.1132152876154946,4
302,efficientnetb0,939,0.0,1
303,vgg16,939,0.4031740758458291,6
304,efficientnetb1,939,0.2680647929070547,6
305,vgg19,350,0.0,1
306,efficientnetb1,550,0.0,1
307,efficientnetb2,939,1.0,3
308,efficientnetb1,550,1.0,3
309,efficientnetb2,550,0.7219694682129152,4
310,resnet34,939,0.3385797164144236,2
311,efficientnetb2,750,0.0,1
312,efficientnetb2,750,0.0,1
313,resnet34,939,0.7089537968694798,4
314,densenet121,939,0.1007807070881022,9
315,efficientnetb0,939,0.0,1
316,efficientnetb1,350,0.0,1
317,densenet121,550,0.0267032533330688,3
318,efficientnetb2,939,0.0,1
319,vgg19,939,0.3786480345124817,5
320,resnet34,350,0.1157963719048598,1
321,vgg19,750,0.1063831635744575,4
322,vgg19,750,0.0061276421520036,2
323,efficientnetb1,939,0.2284047954549483,2
324,efficientnetb2,550,0.0,1
325,densenet121,350,0.0,1
326,efficientnetb1,350,0.7181138626700144,4
327,vgg16,350,0.0238402416290037,2
328,efficientnetb2,550,0.0,1
329,resnet34,939,0.3385797164144236,2
330,resnet34,750,0.1441687792856025,1
331,vgg19,350,0.3463718988145903,7
332,efficientnetb0,550,0.290069122860228,2
333,efficientnetb0,550,0.290069122860228,2
334,densenet121,550,0.0267032533330688,3
335,resnet34,350,0.6392378211717704,6
336,efficientnetb1,550,0.2436659344100393,2
337,vgg16,939,0.4187967673445678,7
338,vgg16,939,0.0548212617333455,3
339,resnet50,350,0.0174859151390518,1
340,vgg19,750,0.482051380981956,8
341,densenet121,350,0.0523859604428457,3
342,resnet50,550,0.106889737057666,2
343,densenet121,939,0.0230700539672484,2
344,densenet121,350,1.0,6
345,resnet50,550,0.2772450699669692,3
346,efficientnetb1,550,0.6878389778024664,4
347,efficientnetb0,939,0.245393377540531,2
348,efficientnetb0,939,0.245393377540531,2
349,efficientnetb1,939,0.7039994792384792,4
350,efficientnetb1,350,0.2323535341648464,2
351,vgg16,550,0.0199271539720846,1
352,efficientnetb0,350,1.0,3
353,resnet34,550,0.1426819901860775,1
354,densenet121,350,0.0523859604428457,3
355,resnet50,750,0.3344894405367239,2
356,resnet50,939,0.1412757250508847,2
357,efficientnetb2,550,1.0,3
358,vgg19,939,0.3144631067328258,6
