Model name,Split point,Partition 1 exec time (s),Partition 2 exec time (s),Network Transfer Time (s)
ResNet18,3,0.29708173871040344,1.318420559167862,0.3247051239013672
ResNet18,4,0.3711030185222626,1.2994828522205353,0.05651897192001343
ResNet18,5,0.8131279349327087,0.8430918157100677,0.06447437405586243
ResNet18,6,1.1113726496696472,0.5535936653614044,0.03313806653022766
ResNet18,7,1.5754060745239258,0.359517902135849,0.016630053520202637
ResNet18,8,1.6638588607311249,0.002257108688354492,0.008386939764022827
VGG16,1,0.8816806972026825,12.181206911802292,4.188350409269333
VGG16,2,0.9816566109657288,12.23698291182518,4.271022975444794
VGG16,3,2.7609944343566895,10.886766374111176,3.6760334074497223
VGG16,4,2.853383779525757,10.275851011276245,4.67771190404892
VGG16,5,2.9649259746074677,10.17174917459488,0.3604845106601715
VGG16,6,3.6981669664382935,9.565686643123627,1.0175763666629791
VGG16,7,3.7562111616134644,9.464635848999023,0.9971779882907867
VGG16,8,5.021583050489426,7.907688677310944,0.8790687024593353
VGG16,9,5.091231971979141,7.994769364595413,0.9091027677059174
VGG16,10,5.526011914014816,8.08541864156723,0.13395309448242188
VGG16,11,5.7563885152339935,7.363515555858612,0.2561492323875427
VGG16,12,5.76264163851738,7.496750622987747,0.29087480902671814
VGG16,13,6.8946163058280945,6.097754091024399,0.30071312189102173
VGG16,14,6.817452818155289,6.190591275691986,0.3065544068813324
VGG16,15,7.945486068725586,4.869072467088699,0.2718396782875061
VGG16,16,7.859634131193161,5.094693660736084,0.2860383093357086
VGG16,17,8.060062408447266,4.912015080451965,0.06474828720092773
VGG16,18,8.663389980793,4.365075200796127,0.1347961127758026
VGG16,19,8.815071791410446,4.374963313341141,0.13939601182937622
VGG16,20,10.017282783985138,3.0689927339553833,0.13115346431732178
VGG16,21,10.944765567779541,3.456203877925873,0.12477126717567444
VGG16,22,11.67586076259613,1.727260559797287,0.12888607382774353
VGG16,23,11.293969482183456,1.7420895397663116,0.14111745357513428
VGG16,24,11.63869035243988,1.7580633759498596,0.031248539686203003
VGG16,25,11.72950541973114,1.4356508553028107,0.03148934245109558
VGG16,26,11.752706170082092,1.4195490777492523,0.03298136591911316
VGG16,27,12.156216889619827,1.1273345649242401,0.031536489725112915
VGG16,28,11.957948803901672,1.1074391603469849,0.03268131613731384
VGG16,29,12.070046663284302,0.8102602064609528,0.030762284994125366
VGG16,30,12.463460147380829,0.8142126202583313,0.03667140007019043
resnet50,1,1.007783082815317,4.4255023919619045,0.27781328788170445
resnet50,2,1.44988830272968,4.00954822393564,0.26638018167935884
resnet50,3,1.822448968887329,3.4734561993525577,0.25167417526245117
resnet50,4,2.4301604674412656,2.92860693197984,0.12563369824336126
resnet50,5,2.6804305223318248,2.6352988206423245,0.13298911314744216
resnet50,6,3.0207233795752892,2.3467717537513146,0.13441076645484337
resnet50,7,3.2338703779073863,2.0791246707622824,0.13479583079998309
resnet50,8,3.702085953492385,1.7056634242718036,0.06218603941110464
resnet50,9,3.889002268130963,1.5199310596172626,0.06456367786114033
resnet50,10,4.07323431968689,1.3197238078484168,0.06289786558884841
resnet50,11,4.276836230204656,1.1351343851823072,0.062453398337730996
resnet50,12,4.4236959127279425,0.9529424263880804,0.06410439197833721
resnet50,13,4.66188828761761,0.7591264431293194,0.06188218410198505
resnet50,14,5.045604687470656,0.39055217229402983,0.03144128506000225
resnet50,15,5.069773435592651,0.19355132029606745,0.03134729312016414
