Model name,Split point,Partition 1 exec time (s),Partition 2 exec time (s),Network Transfer Time (s)
VGG16,20,0.8024957941348442,0.25065830445344,0.027902893940458934
VGG16,21,0.8773806955357105,0.28230683914076526,0.02653831995467661
VGG16,22,0.9364092754027237,0.14099240791049555,0.02741810445354408
VGG16,23,0.9055753975354089,0.1422044481480645,0.03003328888659751
VGG16,24,0.9334081388337051,0.14351006271111846,0.006542278124699116
VGG16,25,0.9407405416325979,0.11715781535920917,0.00659376402859458
VGG16,26,0.9426137687510027,0.11584174356384207,0.006912772728176687
VGG16,27,0.9751931987681901,0.09195771726632648,0.006603844560768191
VGG16,28,0.9591850460462591,0.09033157501374292,0.006848619252877222
VGG16,29,0.9682358201347808,0.06604178228215271,0.006438312282129959
VGG16,30,1.0,0.06636483110735525,0.007701736857214668
resnet50,1,0.0750693571361019,0.36153203222090086,0.059260148433498215
resnet50,2,0.110764904676782,0.3275341989454204,0.05681564241869646
